"date","Mkt-RF","RMW","dDP","dTS","UNEXPI","RF"
"200706",-1.96,0.53,0.0551303310462718,0.021089569231177,0.00347542815616143,0.376280860269351
"200707",-3.73,0.57,-0.204190563132555,-0.150650564299947,-0.0739963325172578,0.393057179731993
"200708",0.92,-0.91,-0.0190364208128815,-0.175891950821609,0.0792978754013558,0.343437929004686
"200709",3.22,-0.58,-0.127691738246516,-0.256837808030226,-0.000829820545633603,0.318526730828039
"200710",1.8,-0.31,-0.0408606682648279,-0.122509364722594,0.202902480521363,0.319331380788213
"200711",-4.83,1.88,-0.0458837048049902,-0.0143808488626725,0.516616474191611,0.268499246095599
"200712",-0.87,0.7,-0.121909404905748,0.0666477217471485,0.2709424241472,0.246626977230369
"200801",-6.36,1.98,0.0862690302854283,0.166260610505522,-0.170706757652149,0.226327964177009
"200802",-3.09,0.76,0.00655052690338556,0.256982747075021,0.384236716746033,0.174972952551533
"200803",-0.93,1.09,-0.0505219804916096,0.0989879886869684,0.591129032271995,0.104398461909749
"200804",4.6,1.28,0.0860025759713816,-0.030683665239727,0.210210414246747,0.106869595821268
"200805",1.86,0.81,0.119250390920698,0.187543304038191,0.23366012454415,0.143036022555743
"200806",-8.44,4.3,0.00772928655838737,-0.135070166462064,0.366534631313985,0.153694117432912
"200807",-0.77,-0.98,0.320202233892649,0.143756169257601,0.0773782989451396,0.134828989009228
"200808",1.53,1.85,-0.0234866810515798,0.231138584505578,1.02355853380685,0.14221565206407
"200809",-9.24,2.95,0.00293538517199839,0.355620735356461,0.885431794201607,0.0936824540069159
"200810",-17.23,3.6,-0.0357634345258361,0.0409314795850461,0.513882172576614,0.0556626088274781
"200811",-7.86,4.83,0.227940023223346,0.127270866156829,-0.518544700475236,0.015819561853081
"200812",1.74,-0.08,0.127916832940397,-0.207837817006196,0.0773658767321245,0.00249965631586857
"200901",-8.12,0.23,0.376483051742759,0.209753854296214,-0.168192665170181,0.0108268838282743
"200902",-10.1,1.71,0.0237877239673818,0.0292501215749279,0.346144331282066,0.0249656907416185
"200903",8.95,-2.33,0.178961999739369,-0.567157251128716,-1.29669306112253,0.0174831788141594
"200904",10.19,0.28,0.308934935808821,0.19377609134145,-0.737880225954588,0.0133235655389807
"200905",5.21,-0.98,0.120130600682013,0.172102240154933,-1.04608184514187,0.0149876392125936
"200906",0.43,-1.06,0.12552403451127,0.247449738701317,-0.195988333106262,0.0149876392125936
"200907",7.72,-0.66,0.231577799337959,0.132303486024136,-1.27508532233603,0.0149876392125936
"200908",3.33,-3.02,-0.0400355147927836,0.390180498399949,-1.0676423477314,0.0141556404460896
"200909",4.08,1.36,0.126120533238746,0.294094180169372,-0.545018715426456,0.00999450421297343
"200910",-2.59,4.18,0.0341572180501547,-0.00809400116143285,-0.249849181741826,0.0058314626421252
"200911",5.56,0.81,-0.0983813314119334,-0.314405019587165,-0.0590018749651649,0.00416571211045991
"200912",2.75,0.48,0.064907403750948,0.481008398770848,-0.196005555604401,0.00416571211045991
"201001",-3.36,-1.39,-0.127359662270775,0.865959954711734,0.247313091511006,0.00499862552685304
"201002",3.4,-0.33,-0.0554189101071028,0.140934431276789,-0.22438193648248,0.00916204838419254
"201003",6.31,-0.56,0.0361374427686741,0.324485886341154,-0.124126166575839,0.0124914144766786
